source,target
"as a consequence, i'd like to note, that the question of sexes disproportion in universities is still open, but, as for me, this situation should be changed, in the way, of the whole ie section of mixed sexes universities.","as a consequence, i'd like to note, that the question of gender disproportion in universities is still valid, but, as for me, this situation should be changed, in the way, of the whole ie section of mixed sexes universities."
"as a consequence, these people lose their good view and thus need to wear glasses. ","as a consequence, these people lose their eyesight and thus need to wear glasses. "
"as a consequence, they will feel themselves better if one women works not only with many decades of men, but with some women too. ","as a consequence, they will feel better if one women works not only with many decades of men, but with some women too. "
"as a lot of air travel is unnecessary, our government should create some ways to reduce a number of such travels by introducing special laws. ","as a lot of air flights is unnecessary, our government should create some ways to reduce a number of such flights by introducing special laws. "
"as a matter of fact, a great amount of teenagers thinks that it is the most simple way to make their living and starts grabbing things from the shops. ","as a matter of fact, a great number of teenagers thinks that it is the most simple way to get some money and starts stealing things from the shops. "
"as a matter of fact, several experts impose that sportsmen caught using forbidden drugs should not be allowed to take part into competitions for a broader period, while the opponents feels more radically and claim that the sportsmen ought to be banned forever. ","as a matter of fact, several experts impose that sportsmen caught using forbidden drugs should not be allowed to take part in competitions for a broader period, while the opponents are of a more radical opinion and claim that the sportsmen ought to be banned forever. "
"as a matter of fact, such feelings bring to endorphins and it means ""happiness"" in the physical level. ","as a matter of fact, such feelings cause to endorphins and it means ""happiness"" in the physical level. "
"as a prediction, the amount of children and pensioners decrease to 37,0 percent and approximately 5,7 percent respectively. ","as a prediction, the amount of children and elderly decrease to 37,0 percent and approximately 5,7 percent respectively. "
as a prime example the cosmos investigation of elon musk's company can be considered. ,as a prime example the outer space researches of elon musk's company can be considered. 
as a reason of it government meets the issue of reducing the level of frequency of travelling by planes. ,as a reason of it government raises the issue of reducing the level of frequency of travelling by planes. 
"as a rebuttal to this paper, it might be convincingly argued that it is extremely important to make conditions to reduce crime but they must be done when the crime is not occured. ","as a rebuttal to this paper, it might be convincingly argued that it is extremely important to take measures to reduce crime but they must be taken when the crime is not occured. "
"as a result of it, the crime level may increase. ","as a result of it, the crime rate may increase. "
as a result of that people come to psychologists and they help them to overcome stressful zone and became in a well mind. ,as a result of that people come to psychologists and they help them to overcome stressful periods and feel more peaceful. 
as a result of this equality students lose their ability for competition. ,as a result of this equality students lose their potential for competition. 
"as a result people, who cannot pay, use the internet and download all which they need for free, but i don't think, that they should be punished for it. ","as a result people, who cannot pay, use the internet and download everything which they need for free, but i don't think, that they should be punished for it. "
as a result they need to help to survive and other countries offer them importation of food. ,as a result they need to help to survive and other countries offer them to trade food. 
"as a result, ""cinema thefts"" make their own business on making copies of original discs of musicians, singers, actors. ","as a result, ""cinema thieves"" make their own business on making copies of original discs of musicians, singers, actors. "
"as a result, chinese culture not only stopped it's development, but also dropped on a imposing level. ","as a result, chinese culture not only stopped its development, but also dropped on a imposing level. "
"as a result, government should control not only air pollution, but it has the most important problems in our modern life. ","as a result, government should control not only air pollution, but it causes the most important problems in our modern life. "
"as a result, he or she just avoid working not in the terms of laziness, a just for being in a good mood and being mentally health. ","buts a result, he or she just avoid working not because of laziness, a just for being in a good mood and being mentally health. "
"as a result, if children will know it, they will estimate the great importance of these theme and realise that they are the part of natural world too. ","as a result, if children will know it, they will appreciate the great importance of these theme and realise that they are the part of natural world too. "
"as a result, pupils today know a lot about the society and environmental problems, but their knowledge of simple rules of a polite attitude towards grown-up persons is very poor. ","as a result, pupils today know a lot about the society and environmental problems, but their knowledge of simple rules of a polite attitude towards grown-up people is very poor. "
"as a result, research may have many flaws, low quality and no or not much influence on the development of science but get money and fame to companies which do not deserve it. ","as a result, research may have many flaws, low quality and no or not much influence on the development of science but gives money and fame to companies which do not deserve it. "
"as a result, the government has to reduce or even discontinue the financial support for some important spheres of life such as military or poor population support. ","as a result, the government has to reduce or even discontinue the financial support for some important spheres of life such as military or poor people support. "
"as a result, the industry of art to losing not only a money, but what more important, a talents who want to do genius creation and gain money for that. ","as a result, the industry of art to losing not only a money, but what more important, a talents who want to give people creative work of their genius and gain money for that. "
"as a result, these games make them addicted and they want to make crime in a real life. ","as a result, these games commit them addicted and they want to make crime in a real life. "
"as a result, these people do not have enough free time, but they believe that it is a good investigetion for the future. ","as a result, these people do not have enough free time, but they believe that it is a good investment for the future. "
"as a result, they become more mature and they will make less mistakes or even avoid decisions which are likely to be wrong. ","as a result, they become more mature and they will make fewer mistakes or even avoid decisions which are likely to be wrong. "
"as a result, this problem has two point of view, if this statements to compare, we should says, that global warming and air pollution more dangerous and have more negatives consequences then positive from air travel. ","as a result, this problem has two point of view, if this statements to compare, we should says, that global warming and air pollution more dangerous and have more negatives consequences than positive from air travel. "
"as a result, we have a lot of risks that the economy will go done immediately. ","as a result, we face a lot of risks that the economy will go done immediately. "
as a results people eat healthy meals and the level of life of national population improve. ,as a results people eat healthy food and the quality of life of national population improve. 
"as a rule, legal programmes demand some fees for using. ","as a rule, legal programmes require some fees for using. "
"as a rule, they have a definite target - to tell the world about existence of their music and films and consequently become famous. ","as a rule, they have a definite goal - to tell the world about existence of their music and films and consequently become famous. "
"as a solution i would like to offer social networks and social media at all to restrict their materials and their content, not to allow to public materials which include crime. ","as a solution i would like to offer social networks and social media at all to restrict their materials and their content, not to allow to public materials which glorify crime. "
as a solution to this problem can be given that engineers and scientists should modernize our gadgets to make them safe for people. ,as a solution to this problem can be offered that engineers and scientists should modernize our gadgets to make them safe for people. 
"as a whole, it is important to keep in mind that solving this environmental problem should be priority now, specially when we talk about air pollution. ","as a whole, it is important to keep in mind that solving this environmental problem should be priority now, especially when we talk about air pollution. "
"as a whole, men are more physically developed, and more capable of doing a repeatable mechanical work is much easier for them, such as clothing is . ","as a whole, men are more physically developed, and more capable of doing a repeatable mechanical work  much easier for them, such as clothing is . "
"as about the 0-14 years people, their part will be approximately the same in italy on 2050, and it will fall on yemen from 50,1 to 37,0 percent . ","as for the 0-14 years old people, their part will be approximately the same in italy on 2050, and it will fall on yemen from 50,1 to 37,0 percent . "
"as addition, children became more vulnerable before the face of anxiety and loneliness, which trigger a lot of problems with communication and the desire to be cruel and violent to people as a result. ","as addition, children became more vulnerable facing anxiety and loneliness, which trigger a lot of problems with communication and the desire to be cruel and violent to people as a result. "
as an example we can look in statistics and search that cars give much more oxygen in the air. ,as an example we can look in statistics and find that cars give much more oxygen in the air. 
as an example we can take sweden or other northern social - democracies that pay too much money for the equity of every person in the university and sometimes it hurts the full educational process and the problem of funding of some educational spheres in this countries is really striking. ,as an example we can take sweden or other northern social - democracies that pay too much money for the equality of every person in the university and sometimes it hurts the full educational process and the problem of funding of some educational spheres in this countries is really striking. 
"as an example, yuriy dud, a famous russian journalist was working hard, but was not gaining huge amounts of money, until he gave up on his main job, had some free time and created the most viewed channel with interviews in the world with almost no money. ","as an example, yuriy dud, a famous russian journalist was working hard, but was not earning huge amounts of money, until he gave up on his main job, had some free time and created the most viewed channel with interviews in the world with almost no money. "
"as an example, in some religious countries like pakistan or iran, there people respect their parents and other elder people very much. ","as an example, in some religious countries like pakistan or iran, there people respect their parents and other older people very much. "
"as an example, in the usa and in something countries in europe machine detected problem on skins better then doctor or another professional people. ","as an example, in the usa and in some countries in europe machine detected problem on skins better than doctor or other specialists. "
"as an illustration, many great projects, concerning space exploration, medical treatment and it were realized because of the generosity of private companies. ","as an illustration, many great projects, concerning space exploration, medical treatment and it were carried out because of the generosity of private companies. "
"as an illustration, the literacy rate in russia has increased, as a result, the country has taken the higher place in the international arena. ","as an illustration, the literacy rate in russia has increased, as a result, the country has taken the higher position in the international arena. "
as an overall trend it can be clearly seen metals carried by rail and food products by road was significantly more than all the other products at round 36 percent and 30 percent . ,as an overall trend it can be clearly seen metals carried by rail and food products by road was significantly more than all the other products around 36 percent and 30 percent . 
as an overall trend it is clear than more differences in yemen are in the youngest group and in italy youth as well as middle-aged group has almost the same changes. ,as an overall trend it is clear that the biggest changes in yemen occur in the youngest group and in italy youth as well as middle-aged group has almost the same changes. 
"as an overview, the biggest proportion of goods in rail transportation category had metals, while in category of goods transported by road this was food production. ","as an overview, the biggest proportion of goods in rail transportation category was taken up by metals, while in category of goods transported by road this was food production. "
"as an overview, the largest shares of railway transportation came for metals and for food for vehicles transportation came for metals and for food for vehicles transportation. ","as an overview, the largest shares of railway transportation were accounted for by metals and for food for vehicles transportation came for metals and for food for vehicles transportation. "
"as can be predictable, the smallest amount of children without access to primary school in 2000 is the rest of the world. ","as can be predictable, the smallest number of children without access to primary school in 2000 is the rest of the world. "
"as can be seen from both tables, the most popular field for working is service. ","as can be seen from both tables, the most popular field for working is services. "
as can be seen from the bar chart the proportion of men who chose post-school education is higher than the amount of women who held them in 1999. ,as can be seen from the bar chart the proportion of men who chose post-school education is higher than the number of women who held them in 1999. 
"as can be seen from the bar chart, in most countries except germany print books will became less popular in contrast with electronic books. ","as can be seen from the bar chart, in most countries except germany print books will became less popular in contrast to electronic books. "
"as can be seen from the bar chart, the smallest percentage of all people who held skilled vocational diploma are females diploma and are accounted by about 10 per cent. ","as can be seen from the bar chart, the smallest percentage of all people who held skilled vocational holders are females diploma and is about 10 per cent. "
as can be seen from the chart the smallest unemployment rate for this years was in south asia and was 3.9. ,as can be seen from the chart the lowest unemployment rate for this years was in south asia and was 3.9. 
"as can be seen from the charts there are 6 main parts of goods including machinery, metals, manufactured goods, chemicals, food products and non-metallic minerals, which was transported in 2008. ","as can be seen from the charts there are 6 main categories of goods , namely, machinery, metals, manufactured goods, chemicals, food products and non-metallic minerals, which was transported in 2008. "
"as can be seen from the figures proportional of uneducated boys and girls approximately are the same in all cases, except south america in 2000 (there girls without education in two times more than boys). ","as can be seen from the figures the ratio of uneducated boys and girls approximately are the same in all cases, except south america in 2000 (there girls without education in two times more than boys). "
as can be seen from the first pie chart the biggest number of goods transported by rail is for metals - 35 percent . ,as can be seen from the first pie chart the biggest percent of goods transported by rail is for metals - 35 percent . 
"as can be seen from the graph winter's consumption are fluctuated from 30,000 to approximately 45,000 units where the highest unit is from 22 to 23 p.m. and the lowest data is 30,000 between 6 and 9 a.m.","as can be seen from the graph winter's consumption are fluctuated from 30,000 to approximately 45,000 figures where the highest unit is from 22 to 23 p.m. and the lowest data is 30,000 between 6 and 9 a.m."
"as can be seen from the graph, the unemployment rate in n. africa maintained at the same level at 12,5 percent . ","as can be seen from the graph, the unemployment rate in n. africa remained at the same level at 12,5 percent . "
"as can be seen from the second chart, only 2 percent fall on machinery - transportation by road was not the best way. ","as can be seen from the second chart, only 2 percent have machinery - transportation by road was not the best way. "
as can be seen from the table men had skilled vocational diploma approximately 100 percent while the women trend undergraduate diploma near 70 percent . ,as can be seen from the table men had skilled vocational diploma almost 100 percent while the women trended towards undergraduate diploma near 70 percent . 
"as can be seen, the underground railway system in kyoto and los angeles has got the smallest route out of all cities with 11 and 28 kilometres respectively. ","as can be seen, the underground railway system in kyoto and los angeles has got the shortest route out of all cities with 11 and 28 kilometres respectively. "
"as can we see, amount of metal take the bigger part at a chart. ","as can we see, the proportion of metal take the bigger part at a chart. "
"as electronic produces electro-magnetic wave, it is likely to poorly affect tissues of our body. ","as electronic appliances produces electro-magnetic wave, it is likely to poorly affect tissues of our body. "
as every problematic question which raises such a huge discussions has at least two positions of view and lots of argumentation behind them. ,as every problematic question which starts such a huge discussions there are at least two points of view and lots of argumentation behind them. 
"as example, it can be shown period of my life when i was a kinder. ","as example, it can be shown period of my life when i was a children. "
"as far as i am concerned, each of the reasons is important and should be solved carefully. ","as far as i am concerned, each of the reasons is important and should be addressed carefully. "
"as far as i am concerned, those punishments should be only for some time as sometimes people do not realize that they are doing on the way to their dream. ","as far as i am concerned, those punishments should be only for a certain amount of time as sometimes people do not realize that they are doing on the way to their dream. "
"as far as i can see, the world where we live now is more complicated that it was years ago, and that is the main reason and the cause. ","as far as i can see, the world where we live now is more complicated than it was years ago, and that is the main reason and the cause. "
"as far as i'm concerned, the majority determines it as happiness and its achievement or, moreover, maintenance during all the life. ","as far as i'm concerned, the majority determines it as happiness and its achievement or, moreover, maintenance during whole the life. "
"as far as my opinion is concerned, the main target of any social state is to maintain proper level of health and welfare of its people. ","as far as i am concerned, the main target of any social state is to maintain proper level of health and welfare of its people. "
"as far as older persons are concerned, whose age more than 60 years, their part of population remained steady in 2000 and 2050 and has percentage of 3,6 in 2000 and 5,7 in 2050. ","as far as older persons are concerned, whose age more than 60 years, their part of population remained steady in 2000 and 2050 and has percentage of 3,6 in 2000 and 5,7 percent  in 2050. "
"as far as the regions where the rate remained the same it can be named n. africa, where the rate was 12,5 percent both for 2014 and 2015, as well as the figure in s. asia remained at 3,9 percent . ","as far as the regions where the rate remained the same there can be named n. africa, where the rate was 12,5 percent both for 2014 and 2015, as well as the figure in s. asia remained at 3,9 percent . "
"as far as upward trend, the unemployment rate in eu rised to 7,9 from 7,5. ","as for upward trend, the unemployment rate in eu rised to 7,9 from 7,5. "
"as far projections are concerned, population from these ages will not have crucial changes in yemen and will increased to 57,3 percent , but italy will have the opposite situation, because population of 15 to 59 ages will declined to 46,2 percent . ","as far projections are correct, population from these years old will not have crucial changes in yemen and will increased to 57,3 percent , but italy will have the opposite situation, because population of 15 to 59 ages will declined to 46,2 percent . "
"as for 30-49 age category, they prefer facebook too, because the percentage of this category age people is 73 per cent, while linkedin and instagram consist a little more than 30 and half of 50 correspondingly. ","as for 30-49 age category, they prefer facebook too, because the percentage of this category age people is 73 per cent, while linkedin and instagram amount to slightly more than 30 and half of 50 correspondingly. "
"as for africa 2012 and south asia 2000 they have a similarity results, in first the number of girls is 18,2 and boys is 14,5, and in second the quality of girls is 21,6 and boys is 11,1. ","as for africa 2012 and south asia 2000 they have a similarity results, in first the number of girls is 18,2 and boys is 14,5, and in second the number of girls is 21,6 and boys is 11,1. "
"as for germany, the amount of print accounted for 6 billion of dollars in 2014, and it is projected that it will stay the same in 2018. ","as for germany, the print market value accounted for 6 billion of dollars in 2014, and it is projected that it will stay the same in 2018. "
"as for germany, the development of printed books is predicted to remain stable and stands at 6 billions us dolllars. ","as for germany, the development of printed books is predicted to remain stable and will remain at 6 billions us dolllars. "
"as for italy, in the 2000 had stood 24,1 percent in age of 60 and more years, but it doubled to 42,3 percent in 2050. ","as for italy, in the 2000 had stood 24,1 percent in age of 60 and more years old, but it doubled to 42,3 percent in 2050. "
"as for italy, it is seen that there is trend that percentage of older people will increase dramatically, almost 2 times greater than in 2000. ","as for italy, it is seen that there is trend that percentage of older people will increase dramatically, almost in 2 times compared to 2000. "
"as for italy, the amount of 15-59 years people is expected to decrease from 61,6 per cent to 46,2 per cent and it is expected the dramatic increase in amount of pensioners in this country. ","as for italy, the proportion of 15-59 years old people is expected to decrease from 61,6 per cent to 46,2 per cent and it is expected the dramatic increase in amount of pensioners in this country. "
"as for italy, the percentage of people from 15 to 59 years will be decrease to 46,2 percent . ","as for italy, the percentage of people from 15 to 59 years old will be decrease to 46,2 percent . "
"as for japan, its dynamic differs between 1940 and 2025: there was a big dip in percentage of old people during this time which was continued by the period of dramatic increase.","as for japan, its statistics fluctuate between 1940 and 2025: there was a big dip in percentage of old people during this time which was continued by the period of dramatic increase."
"as for japan, the trend stays constant for about 20 years, then rises a little and goes up incredibly up to 23 percent of the population aged 65 and over in 2040. ","as for japan, the percentage stays constant for about 20 years, then rises a little and goes up steeply up to 23 percent of the population aged 65 and over in 2040. "
"as for japan, this one has different way of population growth than others. ","as for japan, this one has different pattern of population growth than others. "
"as for north africa, the number was in the same position all of the these two years (12,5 percent ). ","as for north africa, the percentage was in the same position all of the these two years (12,5 percent ). "
"as for rest of world, as can be seen, number of girls without access to primary school dropped and achieved a level with only 7.6 million which is less than amount of boys with 7.7 millions. ","as for rest of world, as can be seen, number of girls without access to primary school dropped and reached a level with only 7.6 million which is less than amount of boys with 7.7 millions. "
as for russia it has amount of ground to plant food. ,as for russia it has enough ground to plant food. 
"as for yemen the group of people 15-59 years will rise from 46,3 percent up to 57,3 percent . ","as for yemen the group of people 15-59 years old will rise from 46,3 percent up to 57,3 percent . "
"as for yemen, it can be clearly sees, that in the 2000 year the most widespread age among people was from 0 to 14 years (50,1 percent ). ","as for yemen, it can be clearly sees, that in the 2000 year the most widespread age among people was from 0 to 14 years old (50,1 percent ). "
"as for yemen, the number of people in age from 15 to 59 years will rise by almost 12 per cent. ","as for yemen, the number of people in age from 15 to 59 years old will rise by almost 12 per cent. "
"as for another two countries, both of them will leave steady increase in 2030 - by almost 5 percent. ","as for another two countries, both of them will show steady increase in 2030 - by almost 5 percent. "
"as for as italy, there is the percentage group of ""15-59 years"" was decline to 2050 about 15,4 percent . ","as for as italy, there is the percentage group of ""15-59 years old"" was decline to 2050 about 15,4 percent . "
"as for chemicals, these goods are transported more frequently, using road, about 16 percent . ","as for chemicals, these goods are transported more frequently, by road, about 16 percent . "
"as for chemicals, they account for 11 percent that is the same as food products; however, chemicals that are transported by the road account for 16 percent which are almost the same as transportation of chemicals by the rail. ","as for chemicals, they account for 11 percent which is the same as food products; however, chemicals that are transported by the road account for 16 percent which are almost the same as transportation of chemicals by the rail. "
"as for comparison, there is not much in common between them. ","as for comparison, they do not have much in common. "
"as for developed countries, overall amount of investment was significantly bigger but the figures were fluctuating reaching their highest point of about 175 $ bn in 2011 and the lowest point of approximately 100 $ bn in 2007. ","as for developed countries, overall amount of investment was significantly higher but the figures were fluctuating reaching their highest point of about 175 $ bn in 2011 and the lowest point of approximately 100 $ bn in 2007. "
"as for economical factor, it can be said that the whole country can get a variety of advantages setting the internal manufacturing as the major economical course. ","as for economic factor, it can be said that the whole country can get a variety of advantages after establishing the internal manufacturing as the major economical course. "
"as for factors, which have influence on our feelings, i'd like to pay attention to family, weather and health. ","as for factors, which have influence on our feelings, i'd like to pay attention to family, wealth and health. "
"as for female workers, there is an approximately equal share between the agriculture and services sector. ","as for female workers, there is an approximately equal division between the agriculture and services sector. "
as for goods transported by rail the most transport goods were metals at around 35 percent but by road it was just like 11 percent . ,as for goods transported by rail the most transport goods were metals at around 35 percent but by road it was just about 11 percent . 
as for me i totally disagree with above-mentioned view point. ,as for me i totally disagree with above-mentioned point of view. 
"as for me, i agree strongly that government should make laws in order to ban some amount of air travel. ","as for me, i agree strongly that government should make laws to limit the amount of air travel. "
"as for me, i agree with a big importance of climate and air pollution but i think that this law will make more problems. ","as for me, i agree with a big importance of climate and air pollution but i think that this law will cause more problems. "
"as for me, i am not strongly sure that the vast amount of sports facilities may ensure the improving of population health. ","as for me, i am not entirely sure that the vast amount of sports facilities may ensure the improving of population health. "
"as for me, i can fully disagree with this statement. ","as for me, i can completely disagree with this statement. "
"as for me, i completely agree with the suggested statement, based on increasing of new laws. ","as for me, i completely agree with the suggested statement, based on tightening up new laws. "
"as for me, i suppose that both family and other people such as friends, teachers or colleagues form a mindset of young generation and the power of this influence from both sides can vary due to the country, social politics, type of parents and the level of children's independence. ","as for me, i suppose that both family and other people such as friends, teachers or colleagues form a mindset of young generation and the power of this influence from both sides can vary due to the country, social policy, type of parents and the level of children's independence. "
"as for me, i think that increasing sport facilities is not a good idea because if people do not have enough time for it he will not do sport and when government will build more gyms. ","as for me, i think that increasing sport facilities is not a good idea because if people do not have enough time for it he will not do sport even when government will build more gyms. "
"as for me, i think that opinion cannot be absolutely wrong. ","as for me, i think that point of view cannot be absolutely wrong. "
"as for me, i think that there are many advantages of eating food that is produced in own contry. ","as for me, i think that there are many advantages of eating food that is produced in one's own contry. "
"as for me, any country must produce the food for import and not in small values, cause it support to nation get more money. ","as for me, any country must produce the food for import and not in small values, cause it helps to nation get more money. "
"as for me, it could be more ecological fuel or other ways to make the bad influence of air transport the least. ","as for me, it could be more ecological fuel or other ways to make the bad influence of air transport less significant. "
"as for me, it does not matter how many male or female students are in studying group, but it is clearly, that universities should offer equal amount of places for boys and girls. ","as for me, it does not matter how many male or female students are in studying group, but it is clearly, that universities should offer equal numbers of places for boys and girls. "
"as for me, of course, the own food can help to improve health and will suitable for penniless people. ","as for me, of course, our own food can help to improve health and will suitable for penniless people. "
"as for me, on the one hands i particular agree with the statement that air travel has some disadvantages. ","as for me, on the one hands i partially agree with the statement that air travel has some disadvantages. "
"as for me, the main thing is that people are born with potential, but they are not equal it is like cars, some of them have more horse power then others and that's why you can do nothing with it. ","as for me, the main thing is that people are born with potential, but their capabilities are not equal it is like cars, some of them have more horse power then others and that's why you can do nothing with it. "
"as for me, there are some points to disagree with this statement. ","as for me, there are some reasons to disagree with this statement. "
"as for men, this reason and receiving updates are equally popular with 39 percent of men saying it is their main reason to visit the website. ","as for men, this reason and receiving updates are equally popular with 39 percent of men saying that it is their main reason to visit the website. "
as for mobile type it took only 14th part of minutes of local type. ,as for mobile type it 14 times less than local type. 
"as for my family, we prefer to see a film in the good resolution and we don't want to break the rulers when we decide to watch a new movie or listen new album. ","as for my family, we prefer to watch a film in the good resolution and we don't want to break the rulers when we decide to watch a new movie or listen new album. "
"as for myself, i would support the first opinion. ","as for me, i would support the first opinion. "
"as for non-metallic minerals, the quantity of these goods in by road transportation is significantly bigger than in by rail one. ","as for non-metallic minerals, the quantity of these goods in  road transportation is significantly bigger than in by rail one. "
"as for numbers of income in germany, they suffered a sharp fall from 23 to 10 percent between 1980 and 1990. ","as for figures representing income in germany, they suffered a sharp fall from 23 to 10 percent between 1980 and 1990. "
"as for old people, who are more than 60 years old, their number will increase. ","as for old people, who are older than 60 years old, their number will increase. "
"as for other two options of courses, the number of this particular group is practically equal - there were 30 percent of them were on science courses and 25 percent on the arts. ","as for other two options of courses, the number of this particular group is practically the same - there were 30 percent of them were on science courses and 25 percent on the arts. "
as for population it's more than in russia. ,as for the amount of people living there it's more than in russia. 
"as for populations of yemen, in 2000 was 50,1 per cent of people in the age at 0-14 years. ","as for populations of yemen, in 2000 was 50,1 per cent of people in the age at 0-14 years old. "
"as for projections for 2050, there will be significant rising of amount of people of 60 plus years (42,3 percent ) and decreasing of people of 59 years (46,2 percent ) and 0-14 years (11,5 percent ). ","as for projections for 2050, there will be significant rising of amount of people of 60 plus years old (42,3 percent ) and decreasing of people of 59 years (46,2 percent ) and 0-14 years (11,5 percent ). "
"as for rest of world, index also was not stable and showed a tendency to lower the amount of boys and girls without education-supply.","as for rest of world, in the number also was not stable and showed a tendency to decrease the amount of boys and girls without education."
"as for situation in the world this percent is not so high, only 5,9 percent . ","as for situation in the world this percentage is not so high, only 5,9 percent . "
"as for the uk, which is the country with the lowest book market income, it is also the only country where the data is quite on the same level in both print and ebooks categories. ","as for the uk, which is the country with the lowest book market income, it is also the only country where the figures is quite on the same level in both print and ebooks categories. "
as for the usa and sweden the proportion of 65 years old population is fluctuating during the all period of time. ,as for the usa and sweden the proportion of 65 years old population is fluctuating during the whole period of time. 
"as for the agricultural sector, it has a significant difference in its marks concerning both indonesia and australia. ","as for the agricultural sector, it has a significant difference in its figures concerning both indonesia and australia. "
"as for the boys, there was constant improvement in their numbers but not so crucial than with girls. ","as for the boys, there was constant improvement in the amount of boys but not so crucial than with girls. "
"as for the changes, the number of desktop users have decreased slightly from approximately 150 billions to less than 140 billions, while the numbers of mobile facebook users have increased from less than 60 billions to almost 100 billions. ","as for the changes, the number of desktop users have decreased slightly from approximately 150 million to less than 140 billions, while the numbers of mobile facebook users have increased from less than 60 billions to almost 100 billions. "
"as for the chart of numbers of people using facebook, only approximately 10 million of users had stopped using desktop site by march 2013 and the number of mobile application users had doubled by the same period of time.","as for the chart of numbers of people using facebook, only approximately 10 million users had stopped using desktop site by march 2013 and the number of mobile application users had doubled by the same period of time."
"as for the chemicals and manufactured goods, the difference is insignificant: the same rates for the rail and the road transportation, which are 16 percent and 28 percent (accordingly for mentioned goods). ","as for the chemicals and manufactured goods, the difference is insignificant: the same rates for the rail and the road transportation, which are 16 percent and 28 percent (respectively for mentioned goods). "
"as for the coldest months, the first graph demonstrates the lowest temperature in january and december, when indexes account for -40в°c, while in brazil the coldest month is july and temperature reaches just over 15в°c. ","as for the coldest months, the first graph demonstrates the lowest temperature in january and december, when the averages account for -40в°c, while in brazil the coldest month is july and temperature reaches just over 15в°c. "
"as for the data about countries, the amount of investments in renewable energy increased in both developed and developing ones with the one exception being 2009, when it declined to 100 and about 60 billion dollars in developed and developing countries respectively. ","as for the data about countries, the amount of investments in renewable energy increased in both developed and developing countries with the one exception being 2009, when it declined to 100 and about 60 billion dollars in developed and developing countries respectively. "
"as for the features, in the facebook there is a prevalent number of the youngest age category which is 87 per cent. ","as for the features, in the facebook there makes up a prevalent number of the youngest age category which is 87 per cent. "
"as for the first diagram, it is clear that the quantity of people under 26 studying for the sake of career is 80 percent , which prevails that if those who study out of interest, which is only 40 percent . ","as for the first diagram, it is clear that the percentage of people under 26 studying for the sake of career is 80 percent , which prevails that if those who study out of interest, which is only 40 percent . "
"as for the global warming, i can say that there are a lot of another reasons for it. ","as for the global warming, i can say that there are a lot of other reasons for it. "
"as for the industry, the australian companies were more likely to offer jobs to men rather then women. ","as for the industry, the australian companies were more likely to offer jobs to men rather than women. "
"as for the last reason, all men(25 percent ) and women(35 percent ) choose learning about ways to help others. ","as for the last reason, both men(25 percent ) and women(35 percent ) choose learning about ways to help others. "
as for the lowest temperature in russia it is nearly - 40в°c in january and in brasil it is approximately 18в°c in july.,as for the lowest temperature in yakutsk it is nearly - 40в°c in january and in rio de janeiro it is approximately 18в°c in july.
"as for the minimum temperature, it shows -40в°c in january and december and 11в°c in july. ","as for the minimum temperature, it falls to -40в°c in january and december and 11в°c in july. "
"as for the most huge region - africa, changes are not dramatic: the total amount of children decrease on 11 millions. ","as for the most huge region - africa, changes are not dramatic: the total number of children decrease on 11 millions. "
"as for the pensioners, who are 60 plus years, the figures showed, that in 2000 they were one fifth part of italy population and less than one tenth part of yemen population. ","as for the pensioners, who are 60 plus years old, the figures showed, that in 2000 they were one fifth part of italy population and less than one tenth part of yemen population. "
"as for the people starting from 40 years and above, this is interesting to highlight that the percentage of those who went to art courses was bigger than ""science"" and ""sports and health"" counted together. ","as for the people starting from 40 years and above, this is interesting to highlight that the percentage of those who went to art courses was bigger than ""science"" and ""sports and health"" added together. "
"as for the travelling, if students choose to take this opportunity, they have a risk to drop an idea of a higher education for the reasons of seeming boring comparing to travelling. ","as for the travelling, if students choose to take this opportunity, they have a risk to give up an idea of a higher education for the reasons of seeming boring comparing to travelling. "
"as for this area, south asia, it can be said that the number of boys and girls who cannot get primary education has reduced during the period: by 2012 this quantity was 4,8 percent and 5,1 percent for girls and boys respectively. ","as for this area, south asia, it can be said that the number of boys and girls who cannot get primary education has reduced during the period: by 2012 this figure was 4,8 percent and 5,1 percent for girls and boys respectively. "
"as for winter, index increase twice and reach a peak between 21 and 24 hours. ","as for winter, index increase twice and reach a peak between 21 and 24 o'clock. "
"as illustrated from the first graph, the lowest figures can be noticed in january and december that take from -35(в°c) to -40(в°c) respectively. ","as illustrated from the first graph, the lowest figures can be observed in january and december that range from -35(в°c) to -40(в°c) respectively. "
"as in middle east, as in latin america it can be captured a pattern of fall in the rate of unemployment. ","as in middle east, as in latin america it can be noticed a pattern of fall in the rate of unemployment. "
"as is given, in russia the minimum and the maximum numbers of the weather are the same, in january and december, there is about -35 and -40, respectively. ","as is shown, in russia the minimum and the maximum figures of the temperature are the same, in january and december, there is about -35 and -40, respectively. "
"as is illustrated by the graph, people who are over 65, spend their time less at facebook and instagram, whereas there is an equal percentage of teenagers (18-29) and adults (65 and plus) who deploy the social network linkedin. ","as is illustrated by the graph, people who are over 65, spend their time less at facebook and instagram, whereas there is an equal percentage of teenagers (18-29) and adults (65 and plus) who prefer the social network linkedin. "
