source,target
"however, the invention of the airplane has brought us some facilities.","however, the invention of the airplane has brought us some facilities."
"maybe by boat, but it could take too long!","maybe by boat, but it could take too long!"
let's congratulate santos dummont!,let's congratulate santos dummont!
"dear mrs smith,","dear mrs smith,"
i am writing with reference to your last letter concerning the international student conference in our college.,i am writing with reference to your last letter concerning the international student conference in our college.
don't hesitate to contact me if you need any further information.,don't hesitate to contact me if you need any further information.
from:,from:
for: the group leader.,for: the group leader.
i am in a position to choose a good building which students like myself are interested in.,i am in a position to choose a good building which students like myself are interested in.
"dear mrs smith,","dear mrs smith,"
"i'm writing in response to the letter we have received from you, in order to let you know all the information you have asked for.","i'm writing in response to the letter we have received from you, in order to let you know all the information you have asked for."
it will begin at 6 o'clock p.m. and last until midnight.,it will begin at 6 o'clock p.m. and last until midnight.
all the students will be provided with sacks and we have managed to book a band as well.,all the students will be provided with sacks and we have managed to book a band as well.
"the location of the party isn't fixed yet, but we will let you know after your arrival.","the location of the party isn't fixed yet, but we will let you know after your arrival."
please write back or call me if there is any more information you need.,please write back or call me if there is any more information you need.
i'm looking forward to meeting you and wish you all the best.,i'm looking forward to meeting you and wish you all the best.
"yours sincerely,","yours sincerely,"
"the telephone, a blessing.","the telephone, a blessing."
who of you could imagine life without the telephone?,who of you could imagine life without the telephone?
"not being able to lie to your mother-in-law and pretend you can't attend her garden party because of an illness, without having to look her in the eye?","not being able to lie to your mother-in-law and pretend you can't attend her garden party because of an illness, without having to look her in the eye?"
"take me, for example, i use it whenever there is a problem and i need some advice, or when i have to call off a meeting for any reason.","take me, for example, i use it whenever there is a problem and i need some advice, or when i have to call off a meeting for any reason."
"i cannot always walk to the person and say ""sorry, i must cancel our meeting"", because then it's too late anyway, isn't it?","i cannot always walk to the person and say ""sorry, i must cancel our meeting"", because then it's too late anyway, isn't it?"
life definitely wouldn't be the same without the invention of the telephone.,life definitely wouldn't be the same without the invention of the telephone.
we use it daily in order to get information or to pass it on.,we use it daily in order to get information or to pass it on.
"just try to spend one week without using a telephone at all, and you will see that it is impossible to do so.","just try to spend one week without using a telephone at all, and you will see that it is impossible to do so."
"so don't take the telephone for granted, but keep in mind that our modern way of life is mainly due to its invention.","so don't take the telephone for granted, but keep in mind that our modern way of life is mainly due to its invention."
"dear mrs smith,","dear mrs smith,"
the international student conference will be in the palace hotel in lausanne.,the international student conference will be in the palace hotel in lausanne.
"and the name of the street is ""grand-chêne"".","and the name of the street is ""grand-chêne""."
it is based on my own experience.,it is based on my own experience.
conclusion.,conclusion.
"to sum up, the olympic museum is a very attractive place and could be a good trip with your family or your student group.","to sum up, the olympic museum is a very attractive place and could be a good trip with your family or your student group."
"dear mrs maria smith,","dear mrs maria smith,"
thank you for your letter.,thank you for your letter.
it will take you about 15 minutes to arrive at the college.,it will take you about 15 minutes to arrive at the college.
there will be a party after the conference.,there will be a party after the conference.
"therefore, you had better wear casual and comfortable clothes.","therefore, you had better wear casual and comfortable clothes."
"finally, this area has its reputation for shopping centres, so it might be a good idea to buy some clothes, local food, and so on.","finally, this area has its reputation for shopping centres, so it might be a good idea to buy some clothes, local food, and so on."
i hope you will enjoy your stay in my country.,i hope you will enjoy your stay in my country.
i look forward to meeting all of you.,i look forward to meeting all of you.
"yours sincerely,","yours sincerely,"
amusement centre,amusement centre
introduction,introduction
the aim of this report is to give information on the amusement centre in seoul.,the aim of this report is to give information on the amusement centre in seoul.
it is based on my experience and on views expressed by local people who were interviewed.,it is based on my experience and on views expressed by local people who were interviewed.
facilities,facilities
it was found that the amusement centre is the most popular building in seoul to enjoy yourself.,it was found that the amusement centre is the most popular building in seoul to enjoy yourself.
"there is a wide range of facilities including theatres, game centres, korean restaurants.","there is a wide range of facilities including theatres, game centres, korean restaurants."
things to buy,things to buy
"however, you can buy luxurious things as well if you wish.","however, you can buy luxurious things as well if you wish."
conclusion,conclusion
"dear mrs smith,","dear mrs smith,"
thank you for your letter.,thank you for your letter.
it is an outstanding building situated in the city centre.,it is an outstanding building situated in the city centre.
i am sure the students will enjoy walking in the streets of the town.,i am sure the students will enjoy walking in the streets of the town.
the conference starts at 5 o'clock in the afternoon and finishes at 7 pm.,the conference starts at 5 o'clock in the afternoon and finishes at 7 pm.
i look forward to receiving your confirmation.,i look forward to receiving your confirmation.
"yours,","yours,"
report:,report:
to: mr,to: mr
from:,from:
date: 21st june 2000,date: 21st june 2000
introduction:,introduction:
general information:,general information:
"the museum is situated in the centre of populoniou, the picturesque fishing village on the etruscan coast.","the museum is situated in the centre of populoniou, the picturesque fishing village on the etruscan coast."
populoniou is about 15 km.,populoniou is about 15 km.
description:,description:
positive aspects,positive aspects
1.,1.
2.,2.
negative aspects,negative aspects
1.,1.
conclusion:,conclusion:
"personally, i am glad that you will have this opportunity to use its various facilities.","personally, i am glad that you will have this opportunity to use its various facilities."
i look forward to welcoming you.,i look forward to welcoming you.
yours sincerely,yours sincerely
dear mrs smith,dear mrs smith
there are many things you could do for this short time on the last day.,there are many things you could do for this short time on the last day.
yours sincerely,yours sincerely
there is space for about five hundred people.,there is space for about five hundred people.
the church was built in 1385.,the church was built in 1385.
"dear mrs maria smith,","dear mrs maria smith,"
"firstly, the palace hotel has been booked for your group.","firstly, the palace hotel has been booked for your group."
there are many different people's inventions around us.,there are many different people's inventions around us.
"dear mrs maria smith,","dear mrs maria smith,"
i read your letters and i'm ready to help you.,i read your letters and i'm ready to help you.
those are my ideas for the conference.,those are my ideas for the conference.
"the second one is the lamp, the electricity that is very important in our life.","the second one is the lamp, the electricity that is very important in our life."
the other one is the television.,the other one is the television.
dear maria,dear maria
your group has been booked into the palace hotel.,your group has been booked into the palace hotel.
it will take you two or three hours but it's a gorgeous place.,it will take you two or three hours but it's a gorgeous place.
"yours sincerely,","yours sincerely,"
"dear mrs maria smith,","dear mrs maria smith,"
thank you very much for your letter.,thank you very much for your letter.
"so you will enjoy traditional foods, music, dances and games from all over the world.","so you will enjoy traditional foods, music, dances and games from all over the world."
"it is about 1000 years old, so i am sure that you will find it fascinating to see it.","it is about 1000 years old, so i am sure that you will find it fascinating to see it."
"yours sincerely,","yours sincerely,"
can you imagine your life without any computers at all?,can you imagine your life without any computers at all?
"in other words, almost all aspects of our lives today rely on computers.","in other words, almost all aspects of our lives today rely on computers."
so i am sure from this that it is convincing enough to say that invention of computers is really important.,so i am sure from this that it is convincing enough to say that invention of computers is really important.
"from my personal experience, i can also say that a personal computer is also an amazing tool.","from my personal experience, i can also say that a personal computer is also an amazing tool."
dear mrs smith,dear mrs smith
you can make contact with mrs brackenbury using the number 06 8793888.,you can make contact with mrs brackenbury using the number 06 8793888.
the bus leaves at 8:00 every morning and gets back to the hotel at 6 o'clock in the evening.,the bus leaves at 8:00 every morning and gets back to the hotel at 6 o'clock in the evening.
"as you see, what to wear is just something casual.","as you see, what to wear is just something casual."
"yours sincerely,","yours sincerely,"
computer life,computer life
"dear mrs smith,","dear mrs smith,"
"i am writing in reply to your letter, which i received yesterday.","i am writing in reply to your letter, which i received yesterday."
"first of all, the hotel booked for the group is the palace hotel, which is very impressive in terms of comfort and facilities.","first of all, the hotel booked for the group is the palace hotel, which is very impressive in terms of comfort and facilities."
this is a very central hotel located not far away from the conference hall.,this is a very central hotel located not far away from the conference hall.
you will be able to get there either by bus (no 150) or on foot.,you will be able to get there either by bus (no 150) or on foot.
next you are welcome to attend the party organized at the end of the conference.,next you are welcome to attend the party organized at the end of the conference.
it will begin at elevenish p.m. and may last the whole night.,it will begin at elevenish p.m. and may last the whole night.
to: (group leader),to: (group leader)
from:,from:
subject: bournemouth national museum,subject: bournemouth national museum
"as requested i visited the bournemouth national museum, which is, to my mind, one of the most interesting buildings of the area.","as requested i visited the bournemouth national museum, which is, to my mind, one of the most interesting buildings of the area."
1.,1.
architecture,architecture
2.,2.
exposition,exposition
3.,3.
restaurant,restaurant
the waiters are friendly and always ready to give advice.,the waiters are friendly and always ready to give advice.
in fact it is just what visitors need after their trip through the museum.,in fact it is just what visitors need after their trip through the museum.
dear mrs. smith,dear mrs. smith
you asked me for some suggestions for your free afternoon.,you asked me for some suggestions for your free afternoon.
as well as the stained glass windows which are really amazing.,as well as the stained glass windows which are really amazing.
yours sincerely.,yours sincerely.
inventions have affected all our lives!,inventions have affected all our lives!
"to sum up, in my opinion the tv is a very good and useful invention.","to sum up, in my opinion the tv is a very good and useful invention."
"dear maria,","dear maria,"
"yours sincerely,","yours sincerely,"
yours sincerely,yours sincerely
to group leader,to group leader
i am the student leader.,i am the student leader.
the group has been booked into the harris hotel.,the group has been booked into the harris hotel.
it is very beautiful and a very good place to relax.,it is very beautiful and a very good place to relax.
another place that would be interesting to visit is the old cathedral of the city.,another place that would be interesting to visit is the old cathedral of the city.
hampton court palace,hampton court palace
introduction:,introduction:
i have been asked for information on an interesting building to visit.,i have been asked for information on an interesting building to visit.
"i went to hampton court last year, and i think it is a great place to visit.","i went to hampton court last year, and i think it is a great place to visit."
location:,location:
transport:,transport:
"to get to hampton court palace, you need to take a train from waterloo train station.","to get to hampton court palace, you need to take a train from waterloo train station."
price:,price:
"there is a great price for children, students, adults and families.","there is a great price for children, students, adults and families."
conclusion:,conclusion:
hampton court palace is a building with lots of history and interesting things to see.,hampton court palace is a building with lots of history and interesting things to see.
unfortunately richard brown is ill but i can help you as much as i can.,unfortunately richard brown is ill but i can help you as much as i can.
"firstly, we've booked palace hotel, which is located in central.","firstly, we've booked palace hotel, which is located in central."
"finally, i give you some suggestions which could spend for about 3 hours in the national museum in my area.","finally, i give you some suggestions which could spend for about 3 hours in the national museum in my area."
the museum can be helpful to understand our country's history and art.,the museum can be helpful to understand our country's history and art.
i look forward to seeing you soon.,i look forward to seeing you soon.
"yours sincerely,","yours sincerely,"
it's hard to say which is the most important invention.,it's hard to say which is the most important invention.
i have just received your letter.,i have just received your letter.
"firstly, the conference will take place in the palace hotel and we get from our college to there by bus.","firstly, the conference will take place in the palace hotel and we get from our college to there by bus."
i hope it will be a successful conference.,i hope it will be a successful conference.
see you soon.,see you soon.
yours sincerely,yours sincerely
alice knew that it was going to be a very special day for her.,alice knew that it was going to be a very special day for her.
in the evening they were going to the disco party that was jane's friend's birthday party.,in the evening they were going to the disco party that was jane's friend's birthday party.
so they could go to the disco party.,so they could go to the disco party.
it was a very very special day.,it was a very very special day.
"dear mrs smith,","dear mrs smith,"
"our director will make a speech afterwards and there will be a party with some snacks, drinks and music.","our director will make a speech afterwards and there will be a party with some snacks, drinks and music."
"everybody should wear formal clothes, at least, a little bit formal.","everybody should wear formal clothes, at least, a little bit formal."
"yours sincerely,","yours sincerely,"
alice knew that is was going to be a very special day for her.,alice knew that is was going to be a very special day for her.
she had a dream where somebody told her that that day would be special.,she had a dream where somebody told her that that day would be special.
"so, she took the bus, like every morning, and she went to school.","so, she took the bus, like every morning, and she went to school."
but that day was a little bit different: she had her maths exam.,but that day was a little bit different: she had her maths exam.
!,!
"dear mrs. smith,","dear mrs. smith,"
the hotel which we have reserved for your group is the palace hotel.,the hotel which we have reserved for your group is the palace hotel.
"it is not far from our college, taking 20 minutes by car.","it is not far from our college, taking 20 minutes by car."
there is a taxi rank opposite the hotel.,there is a taxi rank opposite the hotel.
"regarding the end-of-conference party on thursday, it starts at 7 p.m. in the garden of the college.","regarding the end-of-conference party on thursday, it starts at 7 p.m. in the garden of the college."
many beautiful and traditional souvenirs can be found there.,many beautiful and traditional souvenirs can be found there.
"moreover, it is the biggest flower market in this area.","moreover, it is the biggest flower market in this area."
i look forward to meeting you soon and hope you have a safe journey.,i look forward to meeting you soon and hope you have a safe journey.
"yours sincerely,","yours sincerely,"
invented light,invented light
some of them are natural whereas the others are not.,some of them are natural whereas the others are not.
could you do anything much without light?,could you do anything much without light?
i think we should be grateful that we have got the electric light for comforting our lifestyle.,i think we should be grateful that we have got the electric light for comforting our lifestyle.
12 june 2001,12 june 2001
dear mrs smith,dear mrs smith
your group will stay at the palace hotel.,your group will stay at the palace hotel.
the palace hotel is situated in the town centre next to the railway station.,the palace hotel is situated in the town centre next to the railway station.
i look forward to seeing you.,i look forward to seeing you.
"yours sincerely,","yours sincerely,"
what would life be without the phone?,what would life be without the phone?
how has the phone affected my own life?,how has the phone affected my own life?
12th june 2001,12th june 2001
"yours sincerely,","yours sincerely,"
i can live without this.,i can live without this.
it's true.,it's true.
"some people can live without this, but i am sure that the world would be very different.","some people can live without this, but i am sure that the world would be very different."
12 june 2001.,12 june 2001.
"dear maria smith,","dear maria smith,"
"yours sincerely,","yours sincerely,"
television,television
"television has affected the ""all days life,,, too.","television has affected the ""all days life,,, too."
"no, i don't think so.","no, i don't think so."
"dear mrs. smith,","dear mrs. smith,"
i am writing in reply to your letter.,i am writing in reply to your letter.
i am sorry about richard brown.,i am sorry about richard brown.
"secondly, the end-of-conference party will take place in the same hall as the conference at 6 p.m., which includes dinner and an announcement by the president of the conference.","secondly, the end-of-conference party will take place in the same hall as the conference at 6 p.m., which includes dinner and an announcement by the president of the conference."
"the party is arranged as a casual party, therefore, you can wear comfortable clothes.","the party is arranged as a casual party, therefore, you can wear comfortable clothes."
you can expect to meet many students from other schools as well.,you can expect to meet many students from other schools as well.
"whatever you choose, you will be satisfied with your choice.","whatever you choose, you will be satisfied with your choice."
i would be glad to be able to help you.,i would be glad to be able to help you.
"yours sincerely,","yours sincerely,"
"people do not have the impression on important inventions any more, because they have been getting more popular and common.","people do not have the impression on important inventions any more, because they have been getting more popular and common."
"what is more, many inventions have been accelerated by electricity.","what is more, many inventions have been accelerated by electricity."
"in my life, i use electricity in many different ways.","in my life, i use electricity in many different ways."
"at night, i can study because of it.","at night, i can study because of it."
"to sum up, although people do not feel that electricity is a great invention any more, the fact that electricity is one of the most important inventions in the world will not be changed.","to sum up, although people do not feel that electricity is a great invention any more, the fact that electricity is one of the most important inventions in the world will not be changed."
"dear mrs maria smith,","dear mrs maria smith,"
i am sorry to hear that richard brown isn't well and hope he'll get better soon.,i am sorry to hear that richard brown isn't well and hope he'll get better soon.
it's not very big but it has got some amazing information about the history of our town and their people.,it's not very big but it has got some amazing information about the history of our town and their people.
i am looking forward to seeing you all soon.,i am looking forward to seeing you all soon.
"best regards,","best regards,"
i don't think i need to comment on this.,i don't think i need to comment on this.
from my personal experience i realised how it's important to drive a car when i was living in johanesburg in south africa.,from my personal experience i realised how it's important to drive a car when i was living in johanesburg in south africa.
i arrived there with my family when my daughter was only 4 months old and i couldn't drive at that time.,i arrived there with my family when my daughter was only 4 months old and i couldn't drive at that time.
johanesburg is a very dangerous place to live.,johanesburg is a very dangerous place to live.
"i couldn't just go for a walk, it was too dangerous.","i couldn't just go for a walk, it was too dangerous."
"dear mrs maria smith,","dear mrs maria smith,"
thank you for your letter.,thank you for your letter.
i will copy the map around the college.,i will copy the map around the college.
"secondly, i will tell you about the end-of-conference party.","secondly, i will tell you about the end-of-conference party."
it will start at six o'clock.,it will start at six o'clock.
so i suggest that the students should wear formal clothes.,so i suggest that the students should wear formal clothes.
"finally, i will give you some ideas for an afternoon free time.","finally, i will give you some ideas for an afternoon free time."
the city in which there is my college is traditional in my country.,the city in which there is my college is traditional in my country.
"for example, there are many shrines, temples, and castles.","for example, there are many shrines, temples, and castles."
i suggest that you should visit these places.,i suggest that you should visit these places.
you will have a good time.,you will have a good time.
"in addition, there are many other colleges.","in addition, there are many other colleges."
i am looking forward to seeing you at the conference.,i am looking forward to seeing you at the conference.
yours sincerely.,yours sincerely.
i suggest that you should visit one building.,i suggest that you should visit one building.
my town is the capital of japan.,my town is the capital of japan.
i think it is like new york.,i think it is like new york.
the name of the building is 'sunshine 60'.,the name of the building is 'sunshine 60'.
i have three reasons for my recommendation.,i have three reasons for my recommendation.
!,!
"finally, there are many shops inside the building.","finally, there are many shops inside the building."
"dear mrs smith,","dear mrs smith,"
"yours sincerely,","yours sincerely,"
the little woods shopping mall,the little woods shopping mall
location,location
it is located very close to the town centre next to the town museum.,it is located very close to the town centre next to the town museum.
it can be accessed by the nearby train station.,it can be accessed by the nearby train station.
facilities,facilities
conclusion,conclusion
a special trip could also be organized.,a special trip could also be organized.
dear mrs. smith,dear mrs. smith
it is located in our sports hall.,it is located in our sports hall.
there will be live music and a midnight dinner.,there will be live music and a midnight dinner.
i will organize a tourist guide to give us information about the old buildings and sights.,i will organize a tourist guide to give us information about the old buildings and sights.
yours sincerely,yours sincerely
the invention of the car was a great point in history.,the invention of the car was a great point in history.
in my life the car has an enormous influence.,in my life the car has an enormous influence.
i come from a rural area.,i come from a rural area.
i always needed my mom or my dad to take me where i wanted to go.,i always needed my mom or my dad to take me where i wanted to go.
today i have my own car and i use it daily to get to work and to meet my friends at any place and any time.,today i have my own car and i use it daily to get to work and to meet my friends at any place and any time.
"dear mrs m. smith,","dear mrs m. smith,"
i am writing in order to reply to your letter and to give you all the information that you requested.,i am writing in order to reply to your letter and to give you all the information that you requested.
"secondly, we will have the party in the hotel at 8.00 o'clock and a buffet will be served at 8.30 p.m.","secondly, we will have the party in the hotel at 8.00 o'clock and a buffet will be served at 8.30 p.m."
i hope you will find my letter of interest and i look forward to seeing you.,i hope you will find my letter of interest and i look forward to seeing you.
"yours sincerely,","yours sincerely,"
how can you manage your daily life without it?,how can you manage your daily life without it?
"dear maria,","dear maria,"
the hotel is the palace hotel.,the hotel is the palace hotel.
if you have any questions i am more than happy to help.,if you have any questions i am more than happy to help.
i look forward to seeing you at the conference.,i look forward to seeing you at the conference.
yours sincerely.,yours sincerely.
could you live without this?,could you live without this?
imagine how your life would be if you woke up one morning and found that all the electricity had gone.,imagine how your life would be if you woke up one morning and found that all the electricity had gone.
life wouldn't be easy if we didn't have electricity.,life wouldn't be easy if we didn't have electricity.
!,!
"dear mrs smith,","dear mrs smith,"
thank you for your letter.,thank you for your letter.
i'm looking forward to seeing you at the conference.,i'm looking forward to seeing you at the conference.
"yours sincerely,","yours sincerely,"
the telephone,the telephone
could you?,could you?
"when i was a child, we had no telephone at home, and i always had to go to a phone box in the centre of our village.","when i was a child, we had no telephone at home, and i always had to go to a phone box in the centre of our village."
"dear mrs smith,","dear mrs smith,"
"if there is any information you need to know about the conference, please let me know.","if there is any information you need to know about the conference, please let me know."
"yours sincerely,","yours sincerely,"
telephone saved my friendship,telephone saved my friendship
it's very hard to decide which invention is the best.,it's very hard to decide which invention is the best.
i am writing to you to give you the information about the conference.,i am writing to you to give you the information about the conference.
you only need to cross the street in front of your hotel.,you only need to cross the street in front of your hotel.
this is an informal party.,this is an informal party.
i am looking forward to meeting you at the conference.,i am looking forward to meeting you at the conference.
"yours sincerely,","yours sincerely,"
the most important invention,the most important invention
but i couldn't bake without an oven.,but i couldn't bake without an oven.
i'm so grateful for this invention which allows me to live my passion.,i'm so grateful for this invention which allows me to live my passion.
i think the oven is one of the most important inventions.,i think the oven is one of the most important inventions.
thank you!,thank you!
"dear mrs smith,","dear mrs smith,"
i am writing this letter in reply to your letter which arrived yesterday.,i am writing this letter in reply to your letter which arrived yesterday.
"the easiest way to get there is to take the underground, which takes about 20 minutes.","the easiest way to get there is to take the underground, which takes about 20 minutes."
the map will be given to you on the day of your arrival.,the map will be given to you on the day of your arrival.
"secondly, the end-of-conference party will be held in the palace hotel's percel room and starts at 6 o'clock in the evening.","secondly, the end-of-conference party will be held in the palace hotel's percel room and starts at 6 o'clock in the evening."
"professor kim from my college is going to give a speech, and after that dinner will be served.","professor kim from my college is going to give a speech, and after that dinner will be served."
"the party is not very formal, so you can wear any kind of dress, as long as it is suitable for dinner.","the party is not very formal, so you can wear any kind of dress, as long as it is suitable for dinner."
"it is just 5 minutes walk from the hotel, and in front of the hotel gate, an airport bus will be waiting for you to take you to the airport after finishing the outing.","it is just 5 minutes walk from the hotel, and in front of the hotel gate, an airport bus will be waiting for you to take you to the airport after finishing the outing."
"i hope you will enjoy your stay in korea, and do not hesitate to contact me for any further information.","i hope you will enjoy your stay in korea, and do not hesitate to contact me for any further information."
"i look forward to seeing you soon,","i look forward to seeing you soon,"
"yours sincerely,","yours sincerely,"
.,.
report on kyoung bok palace - the glory of chosun kingdom.,report on kyoung bok palace - the glory of chosun kingdom.
.,.
introduction .,introduction .
.,.
history .,history .
"kyong bok palace was the main residence of the royal family, so you will be able to imagine its size.","kyong bok palace was the main residence of the royal family, so you will be able to imagine its size."
.,.
activity .,activity .
you can try the traditional games of korea and there is a chance to wear the traditional clothes of the royals.,you can try the traditional games of korea and there is a chance to wear the traditional clothes of the royals.
.,.
final recommendation .,final recommendation .
"you will find many interesting points there, therefore, i urge you to visit the place, if you want to experience the tradition of korea.","you will find many interesting points there, therefore, i urge you to visit the place, if you want to experience the tradition of korea."
"dear mrs smith,","dear mrs smith,"
"first of all, the group has been booked into 'the palace hotel'.","first of all, the group has been booked into 'the palace hotel'."
"as you know, the conference will start at 11:00 and it will finish at 13:00, but we will have lunch altogether at 13:30 in the college's hall until 14:30.","as you know, the conference will start at 11:00 and it will finish at 13:00, but we will have lunch altogether at 13:30 in the college's hall until 14:30."
i hope it was useful for you.,i hope it was useful for you.
"yours sincerely,","yours sincerely,"
"dear group leader,","dear group leader,"
"dear mrs smith,","dear mrs smith,"
thank you for your letter.,thank you for your letter.
i look forward to hearing from you.,i look forward to hearing from you.
"yours sincerely,","yours sincerely,"
introduction,introduction
conclusion,conclusion
"dear mrs. smith,","dear mrs. smith,"
thank you for your letter.,thank you for your letter.
i am very pleased to give you the information you requested.,i am very pleased to give you the information you requested.
we are holding the conference party at the royal lancaster hotel - banqueting room at 2.00 pm on sat.,we are holding the conference party at the royal lancaster hotel - banqueting room at 2.00 pm on sat.
24 june.,24 june.
the nearest tube station is lancaster gate.,the nearest tube station is lancaster gate.
"as you know, we've been working very hard all this term.","as you know, we've been working very hard all this term."
to: the group leader,to: the group leader
from:,from:
re: the barbican centre.,re: the barbican centre.
the barbican centre is a very important building in london.,the barbican centre is a very important building in london.
"dear madam,","dear madam,"
m. brown has booked rooms in the palace hotel.,m. brown has booked rooms in the palace hotel.
there is a bus stop in front of your hotel.,there is a bus stop in front of your hotel.
the name of this bus stop is 'kongresshaus'.,the name of this bus stop is 'kongresshaus'.
you can't miss it.,you can't miss it.
it takes you two hours.,it takes you two hours.
i will write about the invention of the computer.,i will write about the invention of the computer.
"dear mrs ryan,","dear mrs ryan,"
please let me know if you need more information.,please let me know if you need more information.
yours sincerely,yours sincerely
"dear sir/madam,","dear sir/madam,"
it made me sad.,it made me sad.
"secondly, the starting time has been changed from 19:30 to 20:15.","secondly, the starting time has been changed from 19:30 to 20:15."
we waited for ages because we had not been informed.,we waited for ages because we had not been informed.
i am sure you can understand my disappointment.,i am sure you can understand my disappointment.
i must insist that you refund the cost of the show.,i must insist that you refund the cost of the show.
i look forward to hearing from you in the near future.,i look forward to hearing from you in the near future.
"yours faithfully,","yours faithfully,"
it is very difficult to cook and wash dishes after working.,it is very difficult to cook and wash dishes after working.
before buying my dishwasher i asked my son to wash them.,before buying my dishwasher i asked my son to wash them.
13th june 2000,13th june 2000
dear mrs ryan,dear mrs ryan
thanks very much.,thanks very much.
1.,1.
what kind of clothes are needed?,what kind of clothes are needed?
2.,2.
3.,3.
should i take some money with me?,should i take some money with me?
4.,4.
i'm looking forward to hearing from you.,i'm looking forward to hearing from you.
a. becker,a. becker
shopping is not always enjoyable,shopping is not always enjoyable
even if you run out of money or you have to buy a particular thing which is difficult to find.,even if you run out of money or you have to buy a particular thing which is difficult to find.
i was looking for a special fruit.,i was looking for a special fruit.
last week i was shopping with my younger brother.,last week i was shopping with my younger brother.
the shops have bad opening times.,the shops have bad opening times.
dear sir/madam:,dear sir/madam:
yours sincerely,yours sincerely
dear kim:,dear kim:
then i had a chance to speak with them.,then i had a chance to speak with them.
"anyway, now i have to stop to finish my homework.","anyway, now i have to stop to finish my homework."
i'm looking forward to receiving your letter again.,i'm looking forward to receiving your letter again.
best wishes.,best wishes.
"dear sir/madam,","dear sir/madam,"
i am unsatisfied and would like to ask for some money back.,i am unsatisfied and would like to ask for some money back.
please would you also change the advertisement to the level of the actual facts.,please would you also change the advertisement to the level of the actual facts.
thank you for your attention.,thank you for your attention.
"yours faithfully,","yours faithfully,"
what will clothes be like 100 years from now?,what will clothes be like 100 years from now?
it is a very hard thing to predict.,it is a very hard thing to predict.
"dear sir,","dear sir,"
actually it spoiled our time.,actually it spoiled our time.
so i would like to get back our money.,so i would like to get back our money.
the main actor was an unknown actor.,the main actor was an unknown actor.
how could you arrange work like that?,how could you arrange work like that?
sincerely,sincerely
yu phu tung.,yu phu tung.
"unfortunately, pat wasn't very good at keeping secrets.","unfortunately, pat wasn't very good at keeping secrets."
first it was because of the culture difference.,first it was because of the culture difference.
secondly the language ability was another issue.,secondly the language ability was another issue.
finally i met pat.,finally i met pat.
one day she invited me to her flat.,one day she invited me to her flat.
"we had many common interests in music, art and books.","we had many common interests in music, art and books."
so i told her everything about my life.,so i told her everything about my life.
"unfortunately, pat wasn't very good at keeping secrets.","unfortunately, pat wasn't very good at keeping secrets."
it was a nightmare!,it was a nightmare!
thank you for the letter you have sent recently.,thank you for the letter you have sent recently.
i'll be taking an english examination at the end of june and i think it would be a good idea if i can travel in july because it's the only month i can spend abroad this year.,i'll be taking an english examination at the end of june and i think it would be a good idea if i can travel in july because it's the only month i can spend abroad this year.
do you think you could also let me know how much money we will need during our stay at the camp.,do you think you could also let me know how much money we will need during our stay at the camp.
i would be grateful if you could send me a brochure and a map showing where the camp is.,i would be grateful if you could send me a brochure and a map showing where the camp is.
thanking you in anticipation.,thanking you in anticipation.
i look forward to hearing from you.,i look forward to hearing from you.
"yours faithfully,","yours faithfully,"
sorry i haven't written for so long but i was really busy trying to apply for a job.,sorry i haven't written for so long but i was really busy trying to apply for a job.
this is just to let you know with whom i worked.,this is just to let you know with whom i worked.
working with this band was an experience i will never forget.,working with this band was an experience i will never forget.
i'm looking forward to hearing from you soon.,i'm looking forward to hearing from you soon.
"love from,","love from,"
"dear sir or madam,","dear sir or madam,"
i'm writing to complain about the service you'd offered me last saturday evening at the circle theatre.,i'm writing to complain about the service you'd offered me last saturday evening at the circle theatre.
and nobody told me why!,and nobody told me why!
why didn't you say something about it?,why didn't you say something about it?
i didn't have the 'perfect evening out' you'd promised so i want to ask for my money back because your service was terrible.,i didn't have the 'perfect evening out' you'd promised so i want to ask for my money back because your service was terrible.
please answer my letter as soon as possible.,please answer my letter as soon as possible.
i'll be looking forward to hearing from you.,i'll be looking forward to hearing from you.
"yours faithfully,","yours faithfully,"
"marcella, scalia c.","marcella, scalia c."
'how has modern technology changed my daily life?','how has modern technology changed my daily life?'
i didn't have a computer until i was eight.,i didn't have a computer until i was eight.
then my brother and i started to develop a new ability.,then my brother and i started to develop a new ability.
when i was thirteen i discovered a completely different use for my computer.,when i was thirteen i discovered a completely different use for my computer.
and years later it enabled me to get a very good job.,and years later it enabled me to get a very good job.
one day my mother got a terrible disease.,one day my mother got a terrible disease.
she had to be operated on and my family and i were very scared.,she had to be operated on and my family and i were very scared.
what do you think about this?,what do you think about this?
"i'm sure that these arguments have explained my point of view, haven't they?","i'm sure that these arguments have explained my point of view, haven't they?"
now i would like to have your point of view.,now i would like to have your point of view.
"dear clark,","dear clark,"
i am writing to you because i would like to give my personal opinion about the 'international arts festival.',i am writing to you because i would like to give my personal opinion about the 'international arts festival.'
"however, there are some points which can be improved for the next year.","however, there are some points which can be improved for the next year."
yours sincerely,yours sincerely
how can you earn money in your spare time?,how can you earn money in your spare time?
i think everybody will ask himself this question one day or has already asked it.,i think everybody will ask himself this question one day or has already asked it.
"okay don't wait, there where you're good at and begin.","okay don't wait, there where you're good at and begin."
8 jun 2000,8 jun 2000
helen ryan,helen ryan
competition organiser,competition organiser
dear sir,dear sir
i have always dreamt about holidays 'in camp california',i have always dreamt about holidays 'in camp california'
